index_name,relation_name,uniqueness,status,sort_order,field_name,field_position
PK_PAYMENTDETAIL_1,PAYMENTDETAIL,UNIQUE,ACTIVE,ASC,PAYMENTDETAIL_ID,0
PK_PBCATCOL_1,PBCATCOL,UNIQUE,ACTIVE,ASC,PBC_TNAM,0
PK_PBCATEDT_1,PBCATEDT,UNIQUE,ACTIVE,ASC,PBE_NAME,0
PK_PBCATFMT_1,PBCATFMT,UNIQUE,ACTIVE,ASC,PBF_NAME,0
PK_PBCATTBL_1,PBCATTBL,UNIQUE,ACTIVE,ASC,PBT_TNAM,0
PK_PBCATVLD_1,PBCATVLD,UNIQUE,ACTIVE,ASC,PBV_NAME,0
FK_POSTINGJOURNAL_PROPERTY,POSTINGJOURNAL,NON_UNIQUE,ACTIVE,ASC,PROP_ID,0
FK_POSTINGJOURNAL_RPTASSESSMENT,POSTINGJOURNAL,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
FK_POSTINGJOURNAL_TAXPAYER,POSTINGJOURNAL,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
IDX_POSTINGJOURNAL_ID,POSTINGJOURNAL,NON_UNIQUE,ACTIVE,ASC,POSTINGJOURNAL_ID,0
IDX_POSTINGJOURNAL_SOURCECT,POSTINGJOURNAL,NON_UNIQUE,ACTIVE,ASC,SOURCE_CT,0
IDX_POSTINGJOURNAL_TAXTRANS,POSTINGJOURNAL,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
IDX_POSTINGJOURNAL_TAXYEAR,POSTINGJOURNAL,NON_UNIQUE,ACTIVE,ASC,TAXYEAR,0
IDX_PSTNGJRNL_PINNO,POSTINGJOURNAL,NON_UNIQUE,ACTIVE,ASC,PINNO,0
PK_POSTINGJOURNAL_1,POSTINGJOURNAL,UNIQUE,ACTIVE,ASC,POSTINGJOURNAL_ID,0
FK_PROPERTY_TOWNERTYPE,PROPERTY,NON_UNIQUE,ACTIVE,ASC,OWNERTYPE_CT,0
FK_PROPERTY_TPROPKIND,PROPERTY,NON_UNIQUE,ACTIVE,ASC,PROPERTYKIND_CT,0
FK_PROPERTY_TPROVINCE,PROPERTY,NON_UNIQUE,ACTIVE,ASC,PROVINCE_CT,0
IDX_PROPERTYBARANGAY_CT,PROPERTY,NON_UNIQUE,ACTIVE,ASC,BARANGAY_CT,0
IDX_PROPERTYPREVPROP_ID,PROPERTY,NON_UNIQUE,ACTIVE,ASC,PREVPROP_ID,0
IDX_PROPERTYUSERID,PROPERTY,NON_UNIQUE,ACTIVE,ASC,USERID,0
IDX_PROPERTY_BARANGAY,PROPERTY,NON_UNIQUE,ACTIVE,ASC,BARANGAY_CT,0
IDX_PROPERTY_MUNID,PROPERTY,NON_UNIQUE,ACTIVE,ASC,MUNICIPAL_ID,0
IDX_PROPERTY_PINNO,PROPERTY,NON_UNIQUE,ACTIVE,ASC,PINNO,0
IDX_PROPERTY_PROPERTYREFID,PROPERTY,NON_UNIQUE,ACTIVE,ASC,PROPERTYREF_ID,0
PK_PROPERTY_1,PROPERTY,UNIQUE,ACTIVE,ASC,PROP_ID,0
IDX_PROPERTYOWNER_LOCALTIN,PROPERTYOWNER,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
PK_PROPERTYOWNER_1,PROPERTYOWNER,UNIQUE,ACTIVE,ASC,PROP_ID,0
FK_PROPOWNERDET_TAXPAYER,PROPERTYOWNERDETAIL,NON_UNIQUE,ACTIVE,ASC,DETAILLOCAL_TIN,0
PK_PROPERTYOWNERDETAIL_1,PROPERTYOWNERDETAIL,UNIQUE,ACTIVE,ASC,PROP_ID,0
PK_PROPERTYOWNERDETAIL_1,PROPERTYOWNERDETAIL,UNIQUE,ACTIVE,ASC,MASTERLOCAL_TIN,1
PK_PROPERTYOWNERDETAIL_1,PROPERTYOWNERDETAIL,UNIQUE,ACTIVE,ASC,DETAILLOCAL_TIN,2
IDX_LANDPROP_ID,PROPERTYREFERENCE,NON_UNIQUE,ACTIVE,ASC,LANDPROP_ID,0
IDX_PROPERTYREFERENCE,PROPERTYREFERENCE,NON_UNIQUE,ACTIVE,ASC,BUILDINGPROP_ID,0
PK_PROPERTYREFERENCE_0,PROPERTYREFERENCE,UNIQUE,ACTIVE,ASC,PROPERTYREF_ID,0
PK_PROPERTYREFERENCE_0,PROPERTYREFERENCE,UNIQUE,ACTIVE,ASC,LANDPROP_ID,1
FK_PROP_ID,PROPERTYTRANSACTIONDOCUMENT,NON_UNIQUE,ACTIVE,ASC,PROP_ID,0
FK_RPTTRANSACTION_ID,PROPERTYTRANSACTIONDOCUMENT,NON_UNIQUE,ACTIVE,ASC,RPTTRANSACTION_ID,0
FK_TAXTRANS_ID,PROPERTYTRANSACTIONDOCUMENT,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
PK_PROPTRANSDOC_ID,PROPERTYTRANSACTIONDOCUMENT,UNIQUE,ACTIVE,ASC,PROPTRANSDOC_ID,0
FK_RCDACCNTABLEFORM_RCDCTRLNUM,RCDACCOUNTABLEFORM,NON_UNIQUE,ACTIVE,ASC,RCDCTRL_ID,0
PK_RCDACCOUNTABLEFORM_1,RCDACCOUNTABLEFORM,UNIQUE,ACTIVE,ASC,AF_ID,0
FK_RCDCASHBREAKDOWN_RCDCTRLNUM,RCDCASHBREAKDOWN,NON_UNIQUE,ACTIVE,ASC,RCDCTRL_ID,0
PK_RCDCASHBREAKDOWN,RCDCASHBREAKDOWN,UNIQUE,ACTIVE,ASC,CASHBREAKDOWN_ID,0
