constraint_name,relation_name,index_name,field_name,field_position,referenced_constraint,referenced_relation,referenced_field,update_rule,delete_rule
FK_BRNGY_MNCPLTY,T_BARANGAY,FK_BRNGY_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_BRNGY_WSECTOR,T_BARANGAY,FK_BRNGY_WSECTOR,WSECTOR_CT,0,PK_T_WSECTOR_1,T_WSECTOR,CODE,RESTRICT,RESTRICT
FK_T_BRNGY_PRVNCE,T_BARANGAY,FK_T_BRNGY_PRVNCE,PROVINCE_CT,0,PK_T_PROVINCE_1,T_PROVINCE,CODE,RESTRICT,RESTRICT
FK_T_BLDGXTRAITEM_BLDGCMPNNT,T_BLDGEXTRAITEM,FK_T_BLDGXTRAITEM_BLDGCMPNNT,BLDGCOMPONENT_CT,0,PK_T_BLDGCOMPONENT_1,T_BLDGCOMPONENT,CODE,RESTRICT,RESTRICT
FK_BLDGMATCHK_BLDGCMPNNT,T_BLDGMATERIALCHECKLIST,FK_BLDGMATCHK_BLDGCMPNNT,BLDGCOMPONENT_CT,0,PK_T_BLDGCOMPONENT_1,T_BLDGCOMPONENT,CODE,RESTRICT,RESTRICT
FK_T_BLDGMATCHK_BLDGMAT,T_BLDGMATERIALCHECKLIST,FK_T_BLDGMATCHK_BLDGMAT,BLDGMATERIAL_CT,0,PK_T_BLDGMATERIAL_1,T_BLDGMATERIAL,CODE,RESTRICT,RESTRICT
FK_T_BPADDCHRG_ITAXTYPE,T_BPADDONCHARGES,FK_T_BPADDCHRG_ITAXTYPE,ITAXTYPE_CT,0,PK_T_ITAXTYPE_1,T_ITAXTYPE,CODE,RESTRICT,RESTRICT
FK_BPCAT_BPCATGRP,T_BPCATEGORY,FK_BPCAT_BPCATGRP,BPCATGROUP_CT,0,PK_T_BPCATEGORYGROUP_1,T_BPCATEGORYGROUP,CODE,RESTRICT,RESTRICT
FK_BPCAT_MNCPLTY,T_BPCATEGORY,FK_BPCAT_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_BPCATGRP_MNCPLTY,T_BPCATEGORYGROUP,FK_BPCATGRP_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_BPCLRANCE_MNCPLTY,T_BPCLEARANCE,FK_BPCLRANCE_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_BPRTS_BPADDCHRG,T_BPRATES,FK_BPRTS_BPADDCHRG,BPADDONCHARGES_CT,0,PK_T_BPADDONCHARGES_1,T_BPADDONCHARGES,CODE,RESTRICT,RESTRICT
FK_BPRTS_MNCPLTY,T_BPRATES,FK_BPRTS_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
